contrast,energy,homogeneity,correlation,label
677.0412770669292,0.012292071784388403,0.0964917451145256,0.8988337580622079,Setengah Matang
804.8385211614172,0.013204982565813619,0.06967857899309164,0.6370155430334856,Setengah Matang
118.33747539370079,0.022472410857862873,0.26715556180803934,0.9878360721317883,Matang
323.66406250000006,0.030313753509127628,0.2973378989664697,0.9408408718497878,Matang
720.5919045275591,0.010467713890218555,0.07245910734861895,0.8622939067498055,Mentah
371.8378444881891,0.013348846451969062,0.12285004508482705,0.9439837968053134,Matang
431.0454601377954,0.013706766095109011,0.09983439292016108,0.8688055861344801,Setengah Matang
457.36749507874015,0.01793872414001143,0.19095856529466051,0.925300350467277,Mentah
575.3706938976379,0.012298073509925716,0.11044208402905795,0.885726674081363,Matang
250.99692421259843,0.024129272814021083,0.32244198373329563,0.9472627634533463,Setengah Matang
818.8855807086616,0.012615078709962407,0.13053361023580184,0.8720002431755898,Matang
556.1393946850395,0.011474789565310279,0.08389353688015756,0.9058035490431516,Matang
702.5645915354329,0.012781663906182732,0.10624962392668617,0.9052349918723487,Mentah
214.68983759842519,0.049799781170857725,0.44478251361704896,0.9501143313405307,Mentah
760.7579970472442,0.011044946562461341,0.08012311856504668,0.8451357604999058,Mentah
230.0200541338583,0.02131456312017712,0.24729807754756888,0.9737342550501863,Setengah Matang
325.7464936023623,0.017452539194024678,0.21567299948179705,0.9312721379330553,Setengah Matang
342.38754921259846,0.015262973224732159,0.1797488860168021,0.9517590117712801,Matang
417.72969980314963,0.014780302638795312,0.18010189959858933,0.9333606287212497,Mentah
719.3170521653543,0.011039891803979709,0.08566256244222717,0.8649620283235352,Mentah
283.37469242125985,0.015624576165278993,0.12612300118357958,0.9053924677043884,Mentah
587.3487327755905,0.012487621091853515,0.11197003103762389,0.9173330817271855,Mentah
1197.0452140748032,0.010394159232723793,0.06781832626947253,0.8151742140784745,Mentah
639.0054133858268,0.016862217230787627,0.1028599808981952,0.7394046907696356,Matang
479.58200049212587,0.012822012920421979,0.10447153176795744,0.9229857620313695,Matang
900.6601254921262,0.01165654441116364,0.08364124307785463,0.8781036045741564,Mentah
626.2904158464567,0.0457402370395719,0.377692953311742,0.9274808552665406,Matang
724.1398868110238,0.012325966170750182,0.07971145543975283,0.8403428880721464,Matang
724.046628937008,0.037038176725602695,0.239922908754285,0.898301737441224,Mentah
1129.6218011811022,0.03740777139438328,0.2656640771430798,0.8413391185751178,Matang
